ai_task,base_model,hardware,cloud_region,dataset_size,epochs,carbon_footprint,training_time,performance_score,failure_risk
NLP,ResNet-50,NVIDIA V100,ap-southeast-1,571,27,137.3,48.4,89.9,Low
NLP,ResNet-101,TPU v4,eu-west-1,2562,7,150,35.4,97,Low
NLP,ViT-Base,CPU,ap-southeast-1,1278,18,19.2,65,67.4,High
Computer Vision,ResNet-50,NVIDIA RTX 4090,us-east-1,1130,12,94.7,33.7,93.4,Low
Computer Vision,ViT-Base,TPU v4,eu-west-1,1370,33,150,45.8,89.3,Low
Speech Recognition,BERT-base,NVIDIA V100,us-east-1,958,17,71.7,38.1,87,Low
Speech Recognition,ResNet-101,NVIDIA V100,us-east-1,121,12,6.4,5,92.8,Low
Recommendation,BERT-large,NVIDIA A100,ap-southeast-1,575,29,86.2,34.2,84.6,Medium
Recommendation,BERT-large,CPU,eu-west-1,1010,9,22,31.8,75,High
Computer Vision,BERT-base,TPU v4,eu-west-3,2008,6,42.1,10.9,91.3,Low
Speech Recognition,ResNet-50,NVIDIA A100,eu-west-1,1879,28,150,65,91.7,Low
Computer Vision,BERT-base,CPU,us-west-2,878,11,14.6,26.7,71.6,High
Computer Vision,GPT-3.5,NVIDIA A100,eu-west-3,2488,34,150,65,87.2,Low
Computer Vision,ResNet-50,TPU v4,us-east-1,3448,24,150,65,87.5,Low
Speech Recognition,BERT-base,NVIDIA A100,eu-west-1,1347,15,150,22.9,86,Low
Speech Recognition,ViT-Base,NVIDIA A100,eu-west-1,2705,26,150,65,95.3,Low
Speech Recognition,ResNet-101,NVIDIA RTX 4090,us-east-1,979,22,150,50.1,84,Medium
NLP,ResNet-101,CPU,us-east-1,1280,26,93.7,65,78.5,High
Recommendation,ResNet-50,NVIDIA A100,eu-west-3,908,26,150,27.5,88.1,Low
Computer Vision,BERT-large,CPU,eu-west-1,340,4,5,8.2,72.6,High
Computer Vision,ResNet-50,NVIDIA RTX 4090,ap-southeast-1,2320,7,92.5,42.1,88.2,Low
NLP,ResNet-101,NVIDIA A100,ap-southeast-1,579,26,150,15.2,89.8,Low
Speech Recognition,GPT-3.5,NVIDIA RTX 4090,eu-west-1,403,12,47.7,7.4,83.1,Medium
NLP,BERT-large,NVIDIA V100,us-east-1,2043,15,150,65,91.3,Low
Computer Vision,BERT-large,NVIDIA RTX 4090,us-east-1,2205,32,150,46.1,81.4,Medium
NLP,BERT-base,TPU v4,ap-southeast-1,1496,22,150,37.9,86.4,Low
NLP,BERT-base,NVIDIA RTX 4090,eu-west-3,2843,18,150,65,87.4,Low
Recommendation,BERT-base,TPU v4,ap-southeast-1,1222,26,150,26.7,97,Low
NLP,ResNet-50,TPU v4,eu-west-1,1806,3,19.7,7.2,97,Low
NLP,ViT-Base,TPU v4,us-east-1,469,34,109.1,10.4,93.3,Low
Speech Recognition,GPT-3.5,TPU v4,us-west-2,2225,29,150,65,90,Low
NLP,BERT-base,NVIDIA A100,eu-west-1,1552,35,150,50.3,92.7,Low
Recommendation,GPT-3.5,NVIDIA A100,eu-west-3,511,5,21.1,6.3,88.1,Low
Computer Vision,BERT-base,TPU v4,ap-southeast-1,3454,24,150,65,94.8,Low
Computer Vision,ResNet-101,NVIDIA V100,ap-southeast-1,711,28,54.9,13.5,82.4,Medium
Computer Vision,ViT-Base,CPU,us-east-1,504,6,5,17.7,72.4,High
Speech Recognition,BERT-base,CPU,eu-west-3,499,5,5,13.1,76.2,High
Speech Recognition,BERT-large,TPU v4,ap-southeast-1,1319,24,150,31.3,90,Low
NLP,BERT-large,NVIDIA A100,us-west-2,2356,20,150,65,89.4,Low
NLP,ResNet-101,TPU v4,us-west-2,662,27,109.6,36.4,97,Low
Speech Recognition,BERT-large,NVIDIA V100,ap-southeast-1,2353,11,150,40.3,81.6,Medium
Recommendation,ViT-Base,NVIDIA A100,eu-west-3,1315,33,150,65,85.2,Low
Computer Vision,ResNet-101,TPU v4,ap-southeast-1,3202,35,150,65,94.7,Low
NLP,BERT-large,CPU,us-west-2,1837,23,36.9,65,74.2,High
NLP,GPT-3.5,NVIDIA A100,us-east-1,426,31,119.3,30.6,90.2,Low
NLP,ResNet-50,TPU v4,ap-southeast-1,1621,21,150,15.8,96,Low
Computer Vision,BERT-large,NVIDIA A100,us-east-1,1490,3,16.8,4.5,94.8,Low
Recommendation,BERT-large,NVIDIA A100,us-east-1,2210,8,95.7,24.1,89.6,Low
Recommendation,ResNet-101,NVIDIA RTX 4090,us-east-1,1325,7,30.8,11.2,79.9,Medium
NLP,ViT-Base,TPU v4,us-west-2,1267,19,149.8,20.5,92.4,Low
NLP,ResNet-101,TPU v4,ap-southeast-1,714,32,150,39.5,96.7,Low
NLP,BERT-large,CPU,eu-west-3,2722,11,86.7,65,77.9,High
Recommendation,ResNet-50,TPU v4,eu-west-1,1258,6,80.4,9.6,94.2,Low
Speech Recognition,BERT-base,TPU v4,us-west-2,1454,21,150,58.4,90.9,Low
Recommendation,ResNet-50,NVIDIA V100,ap-southeast-1,1083,4,45.7,14.2,88.4,Low
Recommendation,ResNet-50,NVIDIA V100,eu-west-1,2044,6,25.4,40.5,76.4,Medium
Speech Recognition,BERT-large,NVIDIA RTX 4090,eu-west-1,309,29,66.3,13.3,93.3,Low
Speech Recognition,ResNet-101,CPU,us-west-2,1008,8,12.4,24.8,81.2,High
Recommendation,ResNet-101,CPU,eu-west-1,2831,3,6.9,36.7,68.6,High
NLP,ViT-Base,NVIDIA A100,ap-southeast-1,896,24,150,29.3,85.8,Low
NLP,BERT-base,TPU v4,eu-west-1,1068,16,150,13.7,95.6,Low
Speech Recognition,BERT-base,NVIDIA A100,eu-west-3,348,23,66.9,12.4,87.9,Low
NLP,ResNet-101,TPU v4,eu-west-3,727,25,150,8.4,92.4,Low
Computer Vision,ViT-Base,NVIDIA RTX 4090,eu-west-1,2674,23,135.5,65,84.4,Medium
Computer Vision,BERT-base,NVIDIA V100,eu-west-3,1698,35,150,65,93.2,Low
Recommendation,ResNet-50,CPU,us-east-1,603,34,46.5,65,74.8,High
Recommendation,ViT-Base,NVIDIA V100,eu-west-1,694,16,79.2,13.9,79.6,Medium
Recommendation,ViT-Base,NVIDIA V100,us-west-2,2173,12,150,65,83.6,Medium
Speech Recognition,ViT-Base,TPU v4,us-west-2,2694,17,150,65,93.2,Low
Recommendation,ResNet-50,NVIDIA A100,us-west-2,1916,8,150,25.9,85.2,Low
NLP,BERT-large,TPU v4,ap-southeast-1,1302,32,150,65,91.5,Low
Recommendation,BERT-base,TPU v4,ap-southeast-1,1948,31,150,21.4,85.9,Low
Recommendation,BERT-large,NVIDIA RTX 4090,ap-southeast-1,1477,17,121.4,43.1,88.1,Low
NLP,GPT-3.5,CPU,us-east-1,2555,9,68.5,65,77.9,High
Recommendation,ResNet-101,NVIDIA RTX 4090,eu-west-3,2938,18,130.3,61.5,89.8,Low
Recommendation,ViT-Base,NVIDIA V100,ap-southeast-1,107,33,27.5,3,86.6,Low
Computer Vision,BERT-base,CPU,eu-west-1,3416,16,98.3,65,67.4,High
Computer Vision,BERT-base,CPU,ap-southeast-1,1414,35,113,65,78.7,High
NLP,GPT-3.5,NVIDIA V100,eu-west-3,2212,32,150,65,84.5,Medium
Computer Vision,ViT-Base,NVIDIA RTX 4090,ap-southeast-1,2947,25,150,65,90.3,Low
Speech Recognition,ResNet-50,NVIDIA A100,eu-west-3,651,3,18,3.6,93,Low
Speech Recognition,BERT-large,CPU,eu-west-3,1150,35,69.5,65,79.8,High
Recommendation,BERT-base,NVIDIA V100,ap-southeast-1,795,25,144,41.4,87.8,Low
Computer Vision,BERT-large,NVIDIA RTX 4090,us-west-2,3019,20,150,65,87.2,Low
Speech Recognition,BERT-base,CPU,ap-southeast-1,527,8,5,19.7,76.1,High
Recommendation,BERT-large,NVIDIA A100,us-west-2,1212,12,134.5,40.2,88.1,Low
NLP,BERT-large,NVIDIA A100,eu-west-1,1594,32,150,65,94.7,Low
Recommendation,ResNet-101,NVIDIA RTX 4090,us-west-2,2840,23,150,65,82.5,Medium
Recommendation,ViT-Base,NVIDIA A100,us-west-2,351,27,24.6,22.7,84.1,Medium
Computer Vision,ResNet-101,NVIDIA A100,eu-west-1,2564,13,150,37.6,92.1,Low
NLP,BERT-base,NVIDIA A100,eu-west-3,1806,10,125.5,12.9,88.7,Low
Speech Recognition,BERT-base,TPU v4,us-east-1,1303,5,50.9,6.9,94.6,Low
NLP,BERT-large,NVIDIA A100,ap-southeast-1,1487,32,150,33.9,87.7,Low
NLP,ResNet-101,CPU,us-east-1,1022,33,32,65,78.2,High
Speech Recognition,GPT-3.5,NVIDIA A100,ap-southeast-1,2926,27,150,65,83.8,Medium
Speech Recognition,ViT-Base,NVIDIA A100,eu-west-3,1930,17,150,65,92.4,Low
Recommendation,ResNet-101,NVIDIA V100,eu-west-1,1318,12,124.6,19.5,80.2,Medium
Speech Recognition,BERT-base,CPU,us-east-1,1837,28,46.3,65,76.6,High
Speech Recognition,GPT-3.5,NVIDIA RTX 4090,us-west-2,1781,32,150,44.2,92.5,Low
Speech Recognition,GPT-3.5,NVIDIA V100,eu-west-3,1866,20,150,65,82.9,Medium
Recommendation,ViT-Base,NVIDIA RTX 4090,us-west-2,2050,31,150,65,87.9,Low
Recommendation,ResNet-50,NVIDIA V100,ap-southeast-1,2099,4,48.2,6.4,79.9,Medium
Recommendation,ResNet-101,NVIDIA A100,us-east-1,2613,9,131.3,58.9,87.2,Low
Speech Recognition,BERT-base,TPU v4,us-east-1,1481,28,150,51.9,89.5,Low
Speech Recognition,ResNet-101,NVIDIA A100,us-east-1,521,6,30.4,4.5,88.1,Low
Computer Vision,GPT-3.5,NVIDIA A100,ap-southeast-1,2427,32,150,42.7,89.2,Low
Computer Vision,ResNet-50,NVIDIA V100,ap-southeast-1,670,23,95.2,34.9,90.5,Low
Computer Vision,ResNet-50,TPU v4,eu-west-1,1621,20,135.6,65,92.4,Low
Recommendation,ResNet-50,CPU,us-east-1,1268,13,13,65,78.3,High
Computer Vision,ViT-Base,NVIDIA A100,eu-west-3,2515,32,150,65,86.5,Low
Recommendation,BERT-large,CPU,us-east-1,2645,33,150,65,67.5,High
Recommendation,BERT-large,NVIDIA A100,us-west-2,961,35,150,65,81.9,Medium
Computer Vision,GPT-3.5,TPU v4,ap-southeast-1,1251,23,150,50.8,85.5,Low
NLP,ResNet-50,TPU v4,ap-southeast-1,1150,6,37.3,11,91,Low
Recommendation,ViT-Base,CPU,us-west-2,1698,4,15.7,42.5,65,High
NLP,BERT-large,NVIDIA A100,us-west-2,763,12,108.2,18,97,Low
Recommendation,ViT-Base,NVIDIA V100,ap-southeast-1,2751,17,135,65,85,Medium
Speech Recognition,ResNet-50,NVIDIA RTX 4090,us-east-1,2429,24,150,65,85.4,Low
Computer Vision,ViT-Base,TPU v4,ap-southeast-1,2272,27,150,65,87.3,Low
Speech Recognition,GPT-3.5,CPU,eu-west-1,888,34,34.5,65,68.5,High
Speech Recognition,ResNet-50,NVIDIA RTX 4090,eu-west-1,2243,30,150,65,87.4,Low
Recommendation,ResNet-50,NVIDIA RTX 4090,eu-west-3,2228,7,94.4,45.1,85,Low
Computer Vision,ResNet-101,NVIDIA RTX 4090,eu-west-1,2935,22,150,65,82.4,Medium
Speech Recognition,BERT-base,NVIDIA A100,us-east-1,2791,19,150,27.8,94,Low
NLP,BERT-base,NVIDIA RTX 4090,us-west-2,1962,33,150,32.5,89,Low
NLP,GPT-3.5,NVIDIA RTX 4090,us-west-2,1161,10,137.2,7.2,88.5,Low
Recommendation,ViT-Base,TPU v4,eu-west-1,2052,27,150,65,84.2,Medium
Recommendation,ResNet-101,TPU v4,us-east-1,573,31,150,31.2,83.8,Medium
Computer Vision,ViT-Base,TPU v4,us-west-2,134,28,27.3,3.8,93.3,Low
Speech Recognition,ResNet-50,CPU,ap-southeast-1,2884,28,150,65,67.5,High
Computer Vision,GPT-3.5,TPU v4,eu-west-3,782,35,150,50.9,92.6,Low
Speech Recognition,BERT-base,NVIDIA A100,us-east-1,2650,27,150,65,93.9,Low
Recommendation,BERT-large,TPU v4,us-west-2,675,5,23.4,3.7,86.4,Low
NLP,ResNet-50,NVIDIA RTX 4090,eu-west-3,1598,10,55.1,47.9,96.3,Low
NLP,BERT-large,NVIDIA V100,us-east-1,2207,23,150,65,79.6,Medium
Speech Recognition,ResNet-50,NVIDIA A100,ap-southeast-1,1417,26,150,29.7,95.2,Low
Computer Vision,ResNet-50,NVIDIA RTX 4090,eu-west-1,1119,34,124.4,47.8,94,Low
Speech Recognition,BERT-large,NVIDIA RTX 4090,eu-west-3,1047,26,107.4,61.1,94.3,Low
Speech Recognition,ResNet-101,NVIDIA RTX 4090,eu-west-1,1134,18,109.3,37.4,85.5,Low
NLP,ResNet-101,NVIDIA RTX 4090,us-west-2,1353,7,40.9,11.7,87.7,Low
Computer Vision,ResNet-50,NVIDIA V100,us-east-1,3488,9,119.7,24.4,88.1,Low
NLP,GPT-3.5,CPU,ap-southeast-1,567,10,11.9,36,69.3,High
Computer Vision,BERT-base,NVIDIA V100,us-west-2,1672,15,76.2,23.8,81.8,Medium
NLP,BERT-base,CPU,eu-west-1,2269,9,43.1,65,67.3,High
Computer Vision,GPT-3.5,NVIDIA A100,eu-west-3,720,16,38.4,28.6,89.4,Low
NLP,GPT-3.5,NVIDIA RTX 4090,eu-west-3,2136,18,150,65,90,Low
Computer Vision,ViT-Base,NVIDIA V100,eu-west-3,902,20,67.3,37.2,79.7,Medium
Computer Vision,ResNet-101,CPU,eu-west-3,1747,9,12.2,65,73.4,High
Speech Recognition,GPT-3.5,TPU v4,ap-southeast-1,1830,25,150,65,93.2,Low
NLP,ResNet-101,NVIDIA RTX 4090,us-west-2,1520,18,150,51.7,93.2,Low
Speech Recognition,ViT-Base,NVIDIA V100,us-west-2,1897,11,150,13.8,90.6,Low
NLP,BERT-large,NVIDIA A100,us-west-2,518,21,99,10.7,96.7,Low
Computer Vision,BERT-base,NVIDIA RTX 4090,us-east-1,1508,14,143.7,37.2,87.7,Low
Computer Vision,BERT-base,NVIDIA V100,eu-west-3,2712,33,150,65,86,Low
Speech Recognition,ResNet-101,NVIDIA RTX 4090,ap-southeast-1,2260,16,150,35.6,94.7,Low
Recommendation,ResNet-101,NVIDIA A100,ap-southeast-1,847,14,81.2,27.7,85.4,Low
Recommendation,GPT-3.5,NVIDIA A100,eu-west-1,2746,3,88.8,26.2,87,Low
NLP,ResNet-50,NVIDIA A100,us-east-1,1702,19,150,65,94.1,Low
Recommendation,GPT-3.5,NVIDIA RTX 4090,eu-west-3,332,5,14.4,4.1,84.2,Medium
Recommendation,ViT-Base,CPU,eu-west-3,969,29,67.1,65,71.8,High
NLP,ResNet-50,NVIDIA V100,ap-southeast-1,1817,4,45,15.2,88.4,Low
Recommendation,ResNet-50,TPU v4,eu-west-1,654,14,59.8,16.7,88.7,Low
NLP,GPT-3.5,NVIDIA A100,eu-west-3,2032,9,117.2,37.7,85.7,Low
Computer Vision,GPT-3.5,NVIDIA V100,ap-southeast-1,903,12,129.2,24.6,81,Medium
NLP,BERT-large,NVIDIA RTX 4090,us-west-2,716,4,32.9,3,82.4,Medium
Recommendation,ViT-Base,NVIDIA V100,eu-west-1,1700,27,119.4,38.7,79,Medium
Recommendation,ResNet-50,NVIDIA A100,eu-west-1,2057,34,150,65,84.4,Medium
NLP,GPT-3.5,TPU v4,eu-west-3,1716,28,150,65,95.3,Low
Speech Recognition,ResNet-50,NVIDIA V100,eu-west-3,886,21,150,14.3,91.9,Low
NLP,ResNet-101,NVIDIA RTX 4090,eu-west-3,2630,17,150,65,89.2,Low
Computer Vision,ViT-Base,NVIDIA V100,us-west-2,3050,11,114.7,65,83.6,Medium
Computer Vision,BERT-large,NVIDIA A100,us-west-2,1809,16,150,37.5,92.3,Low
Recommendation,GPT-3.5,NVIDIA RTX 4090,ap-southeast-1,2749,3,49.3,17.5,88.4,Low
NLP,ResNet-50,CPU,eu-west-3,2889,29,150,65,79.4,High
Computer Vision,GPT-3.5,TPU v4,eu-west-3,652,31,124,22.8,89.5,Low
Speech Recognition,BERT-base,TPU v4,eu-west-3,1557,9,70.8,26.2,92.3,Low
Computer Vision,ResNet-101,TPU v4,eu-west-3,2744,30,150,65,95.8,Low
Recommendation,GPT-3.5,NVIDIA RTX 4090,eu-west-1,2450,28,150,65,83,Medium
Recommendation,ResNet-50,NVIDIA V100,eu-west-1,1289,26,150,51.8,89.6,Low
NLP,BERT-large,NVIDIA V100,eu-west-3,813,33,150,34.2,93.8,Low
Recommendation,GPT-3.5,NVIDIA V100,us-west-2,1744,28,143.7,65,84.4,Medium
Speech Recognition,ViT-Base,CPU,eu-west-1,132,28,9.5,8.9,70.2,High
Computer Vision,ViT-Base,CPU,us-west-2,882,27,25.6,51.7,66.5,High
Recommendation,ResNet-50,NVIDIA V100,eu-west-3,2114,33,150,65,84.9,Medium
Speech Recognition,ResNet-50,CPU,ap-southeast-1,676,5,5,16.4,65,High
Computer Vision,GPT-3.5,NVIDIA V100,eu-west-1,121,28,27.1,3.7,87.9,Low
NLP,BERT-large,CPU,us-west-2,1522,15,44.7,65,70,High
Recommendation,BERT-large,NVIDIA RTX 4090,us-west-2,1738,11,109.7,37.5,89.5,Low
Speech Recognition,ViT-Base,NVIDIA V100,us-east-1,2485,4,83.2,8.4,84.6,Medium
Computer Vision,BERT-large,TPU v4,us-west-2,2497,15,150,65,87.8,Low
Recommendation,BERT-base,NVIDIA RTX 4090,eu-west-1,1354,19,80.3,35,86.8,Low
Speech Recognition,BERT-large,NVIDIA V100,ap-southeast-1,1788,25,150,54.6,91.6,Low
Speech Recognition,BERT-large,TPU v4,us-east-1,940,18,150,21.2,90.2,Low
Recommendation,ResNet-101,NVIDIA A100,eu-west-3,479,16,105.5,7.9,89.4,Low
Speech Recognition,ResNet-50,CPU,eu-west-3,1374,4,5,32.8,77.8,High
Computer Vision,ResNet-50,NVIDIA A100,us-east-1,2156,3,20.2,15.6,93.3,Low
Speech Recognition,ResNet-50,NVIDIA V100,eu-west-1,1274,4,42.7,4,81.2,Medium
Computer Vision,GPT-3.5,NVIDIA V100,us-west-2,1378,23,150,65,84.1,Medium
Computer Vision,ViT-Base,CPU,eu-west-3,676,30,49.2,46.4,66.3,High
Recommendation,ResNet-50,TPU v4,eu-west-3,792,34,150,32.3,90.4,Low
NLP,BERT-base,NVIDIA RTX 4090,eu-west-3,1599,29,150,65,89.5,Low
NLP,ResNet-50,NVIDIA A100,eu-west-1,1181,31,150,25,89,Low
Speech Recognition,GPT-3.5,NVIDIA V100,us-east-1,1955,33,150,65,78.6,Medium
Recommendation,ResNet-50,CPU,ap-southeast-1,842,3,7.3,6.1,68.7,High
Computer Vision,BERT-base,NVIDIA A100,eu-west-1,3378,28,150,55.5,92.1,Low
Recommendation,ResNet-50,NVIDIA A100,us-east-1,2059,28,150,65,87.8,Low
Speech Recognition,BERT-large,NVIDIA A100,us-east-1,486,13,68.7,4.5,84.2,Medium
NLP,ResNet-101,CPU,eu-west-1,976,15,34.6,65,68.9,High
Speech Recognition,ViT-Base,CPU,eu-west-3,992,27,36.8,65,72.2,High
Speech Recognition,BERT-base,TPU v4,eu-west-3,256,24,20.9,3,92.9,Low
Computer Vision,ResNet-101,NVIDIA A100,eu-west-3,1021,17,55.2,12.3,94.6,Low
Computer Vision,ResNet-50,TPU v4,eu-west-3,2924,26,150,51.2,90.1,Low
NLP,BERT-base,NVIDIA V100,eu-west-3,2927,14,150,65,88.6,Low
Speech Recognition,GPT-3.5,CPU,eu-west-1,1172,22,49.2,65,69.1,High
NLP,ViT-Base,NVIDIA RTX 4090,eu-west-1,2917,6,40.6,47.7,97,Low
Recommendation,ViT-Base,NVIDIA RTX 4090,eu-west-3,2999,7,150,59.9,82.9,Medium
NLP,ResNet-101,NVIDIA RTX 4090,eu-west-1,2667,34,150,65,93.7,Low
Recommendation,ResNet-50,CPU,eu-west-3,2507,9,36.3,65,71.6,High
Recommendation,ResNet-101,NVIDIA V100,eu-west-3,1503,13,127.5,21.3,86.8,Low
NLP,ResNet-50,CPU,eu-west-1,190,6,5,3,68.5,High
NLP,ResNet-50,TPU v4,eu-west-3,1580,21,150,28.6,97,Low
Speech Recognition,ResNet-101,NVIDIA A100,us-west-2,1355,4,44.4,9,90.4,Low
Speech Recognition,ResNet-101,TPU v4,ap-southeast-1,1368,34,150,65,93.1,Low
Recommendation,ViT-Base,NVIDIA V100,us-east-1,1921,23,150,65,77.7,Medium
Computer Vision,ResNet-50,NVIDIA RTX 4090,us-west-2,2221,34,150,65,93.8,Low
Computer Vision,BERT-large,NVIDIA RTX 4090,us-west-2,3474,19,150,65,90,Low
Computer Vision,ResNet-101,CPU,us-east-1,2562,10,46.1,65,72.2,High
Speech Recognition,GPT-3.5,NVIDIA RTX 4090,us-east-1,890,9,22.5,8.7,83.9,Medium
Recommendation,ResNet-101,NVIDIA V100,ap-southeast-1,593,12,55.7,22.4,86.4,Low
Computer Vision,ViT-Base,NVIDIA RTX 4090,us-west-2,944,28,60.3,36,88.4,Low
NLP,BERT-base,NVIDIA V100,ap-southeast-1,658,29,150,35.5,84.2,Medium
Speech Recognition,ResNet-50,TPU v4,us-east-1,275,30,40.6,16.5,88.7,Low
NLP,GPT-3.5,TPU v4,eu-west-3,155,6,13.3,3,97,Low
Computer Vision,ResNet-101,TPU v4,eu-west-3,684,7,41.9,4.1,97,Low
NLP,ResNet-101,NVIDIA A100,us-east-1,1580,30,150,65,93.8,Low
Computer Vision,ViT-Base,CPU,us-west-2,802,14,12.1,44.7,68.2,High
Speech Recognition,ResNet-101,NVIDIA V100,eu-west-1,2583,19,150,65,94.2,Low
Computer Vision,BERT-base,NVIDIA A100,us-east-1,1819,9,75,11.2,93,Low
Recommendation,BERT-base,NVIDIA RTX 4090,ap-southeast-1,1203,4,28.3,8.1,89.3,Low
Recommendation,BERT-large,TPU v4,us-east-1,1468,29,150,27.3,88,Low
Speech Recognition,BERT-large,CPU,us-west-2,2616,19,129.2,65,76.9,High
Speech Recognition,BERT-base,CPU,eu-west-3,783,13,17.3,27.2,71.3,High
Speech Recognition,ResNet-50,NVIDIA RTX 4090,us-east-1,1311,30,150,65,84.1,Medium
Speech Recognition,ResNet-50,CPU,eu-west-1,1799,9,14.4,65,75,High
NLP,ViT-Base,NVIDIA V100,ap-southeast-1,1784,8,150,18.4,86.7,Low
Computer Vision,BERT-large,NVIDIA V100,eu-west-3,1417,23,131,65,89.9,Low
Speech Recognition,GPT-3.5,NVIDIA V100,us-east-1,889,33,102.2,41.3,88.7,Low
NLP,BERT-large,NVIDIA V100,ap-southeast-1,2336,21,150,65,93.4,Low
Speech Recognition,ResNet-101,NVIDIA V100,us-east-1,756,12,75.7,8.1,81.5,Medium
NLP,BERT-base,CPU,us-east-1,1173,3,5.4,15.1,81.4,High
Recommendation,ViT-Base,CPU,ap-southeast-1,1968,9,25,48,67.6,High
NLP,BERT-base,NVIDIA A100,eu-west-1,1942,13,94.9,53,87.7,Low
Recommendation,ViT-Base,NVIDIA V100,us-east-1,2078,8,141.4,33.2,83.5,Medium
NLP,ResNet-50,TPU v4,us-west-2,802,9,65.1,14.1,87.3,Low
Computer Vision,ResNet-101,NVIDIA A100,us-east-1,930,33,150,65,87.5,Low
Computer Vision,GPT-3.5,CPU,ap-southeast-1,1524,11,51.3,49.2,80.4,High
Recommendation,ResNet-50,CPU,us-east-1,1012,28,43.4,57.5,65,High
Computer Vision,BERT-base,NVIDIA RTX 4090,us-west-2,193,18,20.8,8.3,85.9,Low
Speech Recognition,BERT-large,NVIDIA V100,us-west-2,2926,17,150,65,86,Low
NLP,ResNet-50,NVIDIA RTX 4090,ap-southeast-1,2257,8,93.2,38.9,92,Low
Recommendation,GPT-3.5,CPU,ap-southeast-1,2177,18,40.2,65,69.1,High
Computer Vision,ViT-Base,NVIDIA RTX 4090,eu-west-3,2863,7,45.1,54.1,89.4,Low
Speech Recognition,BERT-base,NVIDIA V100,eu-west-1,1300,6,72.8,7.5,83.5,Medium
Speech Recognition,ViT-Base,NVIDIA RTX 4090,us-east-1,1777,5,55.9,13.2,90.5,Low
NLP,ResNet-101,CPU,eu-west-1,2850,27,150,65,70.2,High
Speech Recognition,ResNet-101,NVIDIA A100,us-west-2,1081,31,150,65,87.3,Low
Computer Vision,ResNet-50,NVIDIA RTX 4090,us-east-1,423,10,36.8,3.2,90.8,Low
NLP,ResNet-101,CPU,ap-southeast-1,2791,9,71.3,65,77.5,High
Speech Recognition,ResNet-101,NVIDIA V100,us-west-2,2808,13,150,21.9,91.6,Low
NLP,BERT-large,CPU,us-east-1,802,18,17.4,65,70.4,High
Recommendation,GPT-3.5,NVIDIA RTX 4090,us-east-1,2296,21,150,40.5,82.8,Medium
Computer Vision,GPT-3.5,NVIDIA A100,ap-southeast-1,1030,11,66.6,32.3,89.7,Low
Computer Vision,BERT-large,TPU v4,ap-southeast-1,835,32,150,24.8,86.3,Low
NLP,GPT-3.5,CPU,eu-west-1,961,18,37.8,61,70.3,High
Computer Vision,ResNet-101,NVIDIA V100,us-west-2,500,16,62.3,20.3,82.4,Medium
Recommendation,BERT-base,TPU v4,eu-west-1,526,32,61.3,27.3,88.8,Low
Speech Recognition,GPT-3.5,NVIDIA V100,us-east-1,1014,16,32.1,39.9,82.6,Medium
Computer Vision,GPT-3.5,CPU,us-east-1,1651,7,30.3,65,68.9,High
Recommendation,ResNet-101,NVIDIA A100,us-west-2,2455,24,150,65,89.2,Low
NLP,BERT-large,NVIDIA A100,eu-west-3,967,20,130.1,38.7,95.5,Low
Speech Recognition,ResNet-101,NVIDIA V100,ap-southeast-1,260,14,43.9,8.2,80,Medium
Speech Recognition,ResNet-101,CPU,us-west-2,1451,8,32,51.4,69.1,High
Speech Recognition,BERT-large,CPU,eu-west-3,1726,26,52.6,65,74,High
Recommendation,ResNet-101,NVIDIA V100,eu-west-1,1847,21,150,42.7,86.7,Low
NLP,BERT-base,NVIDIA RTX 4090,ap-southeast-1,1580,19,121.9,50.1,88.9,Low
NLP,GPT-3.5,TPU v4,us-east-1,626,15,145.8,21.4,96.4,Low
Computer Vision,GPT-3.5,NVIDIA RTX 4090,us-east-1,3573,25,150,65,82.6,Medium
Speech Recognition,ViT-Base,CPU,us-west-2,2052,17,18,65,73.5,High
Computer Vision,ResNet-101,TPU v4,eu-west-1,2776,18,150,65,92.1,Low
Speech Recognition,GPT-3.5,NVIDIA A100,eu-west-1,2727,35,150,65,92.4,Low
Recommendation,GPT-3.5,TPU v4,eu-west-1,2122,3,75,13.2,90.8,Low
NLP,BERT-base,NVIDIA V100,us-east-1,2193,21,150,26.8,89.4,Low
NLP,GPT-3.5,TPU v4,us-west-2,650,14,83.7,15,92,Low
Recommendation,ResNet-50,NVIDIA RTX 4090,eu-west-3,2178,34,150,65,83,Medium
Speech Recognition,ResNet-101,NVIDIA RTX 4090,ap-southeast-1,630,34,141.6,58.4,86.1,Low
Recommendation,BERT-large,NVIDIA A100,eu-west-1,903,24,123.1,58.4,85.9,Low
Computer Vision,BERT-base,NVIDIA V100,ap-southeast-1,260,8,14.6,6.6,84.8,Medium
NLP,ResNet-101,CPU,us-west-2,2868,4,19.4,30.2,78.7,High
Recommendation,GPT-3.5,CPU,eu-west-3,1885,28,150,65,75.9,High
Recommendation,ResNet-50,CPU,eu-west-1,600,34,30.8,65,69.8,High
Computer Vision,ResNet-50,NVIDIA A100,us-east-1,933,19,114.2,11,96.5,Low
Speech Recognition,ViT-Base,NVIDIA A100,eu-west-1,830,13,60.5,7.3,88.1,Low
NLP,ResNet-101,NVIDIA A100,eu-west-1,604,34,150,37.2,89.3,Low
NLP,ViT-Base,NVIDIA V100,us-west-2,1873,35,150,65,82.8,Medium
